fitness,algorithm,N,best_fitness,time,random_state,max_iters
FourPeaks,random_hill_climb,10,3.0,7.605552673339844e-05,1,50.0
FourPeaks,random_hill_climb,10,3.0,0.00011682510375976562,1,500.0
FourPeaks,random_hill_climb,10,3.0,8.916854858398438e-05,1,1000.0
FourPeaks,random_hill_climb,10,0.0,5.3882598876953125e-05,2,50.0
FourPeaks,random_hill_climb,10,0.0,5.1975250244140625e-05,2,500.0
FourPeaks,random_hill_climb,10,0.0,5.1021575927734375e-05,2,1000.0
FourPeaks,random_hill_climb,10,2.0,9.393692016601562e-05,3,50.0
FourPeaks,random_hill_climb,10,2.0,9.083747863769531e-05,3,500.0
FourPeaks,random_hill_climb,10,2.0,9.298324584960938e-05,3,1000.0
FourPeaks,simulated_annealing,10,18.0,0.0002338886260986328,0,50.0
FourPeaks,simulated_annealing,10,18.0,0.00022220611572265625,0,500.0
FourPeaks,simulated_annealing,10,18.0,0.0002980232238769531,0,1000.0
FourPeaks,simulated_annealing,10,16.0,0.0002079010009765625,1,50.0
FourPeaks,simulated_annealing,10,16.0,0.0001990795135498047,1,500.0
FourPeaks,simulated_annealing,10,16.0,0.00019621849060058594,1,1000.0
FourPeaks,simulated_annealing,10,10.0,0.00033473968505859375,2,50.0
FourPeaks,simulated_annealing,10,10.0,0.0003299713134765625,2,500.0
FourPeaks,simulated_annealing,10,10.0,0.0003421306610107422,2,1000.0
FourPeaks,simulated_annealing,10,18.0,0.00024819374084472656,3,50.0
FourPeaks,simulated_annealing,10,18.0,0.00024509429931640625,3,500.0
FourPeaks,simulated_annealing,10,18.0,0.00024700164794921875,3,1000.0
FourPeaks,genetic_alg,10,18.0,0.04914116859436035,0,50.0
FourPeaks,genetic_alg,10,18.0,0.05153012275695801,0,500.0
FourPeaks,genetic_alg,10,18.0,0.05159807205200195,0,1000.0
FourPeaks,genetic_alg,10,18.0,0.04747295379638672,1,50.0
FourPeaks,genetic_alg,10,18.0,0.04927682876586914,1,500.0
FourPeaks,genetic_alg,10,18.0,0.04759669303894043,1,1000.0
FourPeaks,genetic_alg,10,18.0,0.0476381778717041,2,50.0
FourPeaks,genetic_alg,10,18.0,0.047448158264160156,2,500.0
FourPeaks,genetic_alg,10,18.0,0.047369956970214844,2,1000.0
FourPeaks,genetic_alg,10,18.0,0.04742908477783203,3,50.0
FourPeaks,genetic_alg,10,18.0,0.047727108001708984,3,500.0
FourPeaks,genetic_alg,10,18.0,0.04731607437133789,3,1000.0
FourPeaks,mimic,10,18.0,0.06331706047058105,0,5.0
FourPeaks,mimic,10,18.0,0.1520681381225586,0,50.0
FourPeaks,mimic,10,18.0,0.13773798942565918,0,100.0
FourPeaks,mimic,10,18.0,0.06398797035217285,1,5.0
FourPeaks,mimic,10,18.0,0.13991403579711914,1,50.0
FourPeaks,mimic,10,18.0,0.13999199867248535,1,100.0
FourPeaks,mimic,10,18.0,0.06350898742675781,2,5.0
FourPeaks,mimic,10,18.0,0.13764095306396484,2,50.0
FourPeaks,mimic,10,18.0,0.13772320747375488,2,100.0
FourPeaks,mimic,10,18.0,0.06292319297790527,3,5.0
FourPeaks,mimic,10,18.0,0.1531212329864502,3,50.0
FourPeaks,mimic,10,18.0,0.15012025833129883,3,100.0
OneMax,random_hill_climb,20,20.0,0.0002429485321044922,0,50.0
OneMax,random_hill_climb,20,18.0,0.00021028518676757812,0,500.0
OneMax,random_hill_climb,20,17.0,0.0001552104949951172,0,1000.0
OneMax,random_hill_climb,20,14.0,0.00011587142944335938,1,50.0
OneMax,random_hill_climb,20,14.0,0.00011515617370605469,1,500.0
OneMax,random_hill_climb,20,14.0,0.00011610984802246094,1,1000.0
OneMax,random_hill_climb,20,17.0,0.00013899803161621094,2,50.0
OneMax,random_hill_climb,20,17.0,0.0001308917999267578,2,500.0
OneMax,random_hill_climb,20,17.0,0.00013113021850585938,2,1000.0
OneMax,random_hill_climb,20,19.0,0.0002963542938232422,3,50.0
OneMax,random_hill_climb,20,19.0,0.0002942085266113281,3,500.0
OneMax,random_hill_climb,20,19.0,0.0002970695495605469,3,1000.0
OneMax,simulated_annealing,20,18.0,0.00047326087951660156,0,50.0
OneMax,simulated_annealing,20,19.0,0.001180887222290039,0,500.0
OneMax,simulated_annealing,20,19.0,0.0008981227874755859,0,1000.0
OneMax,simulated_annealing,20,14.0,0.0004608631134033203,1,50.0
OneMax,simulated_annealing,20,19.0,0.0010831356048583984,1,500.0
OneMax,simulated_annealing,20,19.0,0.001123189926147461,1,1000.0
OneMax,simulated_annealing,20,15.0,0.00040411949157714844,2,50.0
OneMax,simulated_annealing,20,15.0,0.0004029273986816406,2,500.0
OneMax,simulated_annealing,20,15.0,0.0004029273986816406,2,1000.0
OneMax,simulated_annealing,20,15.0,0.0004467964172363281,3,50.0
OneMax,simulated_annealing,20,18.0,0.0006248950958251953,3,500.0
OneMax,simulated_annealing,20,18.0,0.0006229877471923828,3,1000.0
OneMax,genetic_alg,20,18.0,0.08899402618408203,0,50.0
OneMax,genetic_alg,20,18.0,0.08441591262817383,0,500.0
OneMax,genetic_alg,20,18.0,0.10042500495910645,0,1000.0
OneMax,genetic_alg,20,19.0,0.1030278205871582,1,50.0
OneMax,genetic_alg,20,19.0,0.10238790512084961,1,500.0
OneMax,genetic_alg,20,19.0,0.10233497619628906,1,1000.0
OneMax,genetic_alg,20,18.0,0.09288811683654785,2,50.0
OneMax,genetic_alg,20,18.0,0.09305596351623535,2,500.0
OneMax,genetic_alg,20,18.0,0.09305214881896973,2,1000.0
OneMax,genetic_alg,20,18.0,0.07006216049194336,3,50.0
OneMax,genetic_alg,20,18.0,0.07006716728210449,3,500.0
OneMax,genetic_alg,20,18.0,0.07027220726013184,3,1000.0
OneMax,mimic,20,20.0,0.255450963973999,0,5.0
OneMax,mimic,20,20.0,0.6380429267883301,0,50.0
OneMax,mimic,20,20.0,0.6829779148101807,0,100.0
OneMax,mimic,20,20.0,0.2472209930419922,1,5.0
OneMax,mimic,20,20.0,0.5835247039794922,1,50.0
OneMax,mimic,20,20.0,0.5840427875518799,1,100.0
OneMax,mimic,20,20.0,0.24787616729736328,2,5.0
OneMax,mimic,20,20.0,0.6327230930328369,2,50.0
OneMax,mimic,20,20.0,0.6309599876403809,2,100.0
OneMax,mimic,20,20.0,0.2532219886779785,3,5.0
OneMax,mimic,20,20.0,0.6425180435180664,3,50.0
OneMax,mimic,20,20.0,0.6371650695800781,3,100.0
FlipFlop,random_hill_climb,20,11.0,0.00010704994201660156,0,50.0
FlipFlop,random_hill_climb,20,15.0,0.00010991096496582031,0,500.0
FlipFlop,random_hill_climb,20,11.0,6.198883056640625e-05,0,1000.0
FlipFlop,random_hill_climb,20,15.0,0.00017881393432617188,1,50.0
FlipFlop,random_hill_climb,20,15.0,0.00017690658569335938,1,500.0
FlipFlop,random_hill_climb,20,15.0,0.00017786026000976562,1,1000.0
FlipFlop,random_hill_climb,20,17.0,0.000186920166015625,2,50.0
FlipFlop,random_hill_climb,20,17.0,0.0001881122589111328,2,500.0
FlipFlop,random_hill_climb,20,17.0,0.0002079010009765625,2,1000.0
FlipFlop,random_hill_climb,20,15.0,0.0001380443572998047,3,50.0
FlipFlop,random_hill_climb,20,15.0,0.00013375282287597656,3,500.0
FlipFlop,random_hill_climb,20,15.0,0.00013303756713867188,3,1000.0
FlipFlop,simulated_annealing,20,16.0,0.00047588348388671875,0,50.0
FlipFlop,simulated_annealing,20,17.0,0.0007700920104980469,0,500.0
FlipFlop,simulated_annealing,20,18.0,0.0017361640930175781,0,1000.0
FlipFlop,simulated_annealing,20,13.0,0.00047779083251953125,1,50.0
FlipFlop,simulated_annealing,20,18.0,0.0013599395751953125,1,500.0
FlipFlop,simulated_annealing,20,18.0,0.0013599395751953125,1,1000.0
FlipFlop,simulated_annealing,20,15.0,0.0004429817199707031,2,50.0
FlipFlop,simulated_annealing,20,17.0,0.0007758140563964844,2,500.0
FlipFlop,simulated_annealing,20,17.0,0.0007798671722412109,2,1000.0
FlipFlop,simulated_annealing,20,18.0,0.00045108795166015625,3,50.0
FlipFlop,simulated_annealing,20,18.0,0.0005431175231933594,3,500.0
FlipFlop,simulated_annealing,20,18.0,0.0005438327789306641,3,1000.0
FlipFlop,genetic_alg,20,17.0,0.06631588935852051,0,50.0
FlipFlop,genetic_alg,20,17.0,0.07054686546325684,0,500.0
FlipFlop,genetic_alg,20,17.0,0.09644389152526855,0,1000.0
FlipFlop,genetic_alg,20,17.0,0.057419776916503906,1,50.0
FlipFlop,genetic_alg,20,17.0,0.05685019493103027,1,500.0
FlipFlop,genetic_alg,20,17.0,0.05638599395751953,1,1000.0
FlipFlop,genetic_alg,20,18.0,0.09306764602661133,2,50.0
FlipFlop,genetic_alg,20,18.0,0.0945436954498291,2,500.0
FlipFlop,genetic_alg,20,18.0,0.09390091896057129,2,1000.0
FlipFlop,genetic_alg,20,18.0,0.1213231086730957,3,50.0
FlipFlop,genetic_alg,20,18.0,0.12103986740112305,3,500.0
FlipFlop,genetic_alg,20,18.0,0.12118887901306152,3,1000.0
FlipFlop,mimic,20,19.0,0.26088690757751465,0,5.0
FlipFlop,mimic,20,19.0,0.7432057857513428,0,50.0
FlipFlop,mimic,20,19.0,0.633538007736206,0,100.0
FlipFlop,mimic,20,19.0,0.25623297691345215,1,5.0
